record,bullied_in_school,bullied_not_school,cyber_bullied,custom_age,sex,physically_attacked,physical_fighting,felt_lonely,close_friends,missed_school,other_students_kind_and_helpful,parents_understand_problems,most_of_the_time_or_always_felt_lonely,missed_classes
35054,No,No,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Rarely,No,No
45361,No,No,No,17 years old,Male,0 times,0 times,Most of the time,2,0 days,Most of the time,Rarely,Yes,No
8786,Yes,Yes,Yes,15 years old,Male,0 times,0 times,Sometimes,3 or more,1 or 2 days,Always,Rarely,No,Yes
44642,No,No,No,17 years old,Male,0 times,1 time,Rarely,3 or more,0 days,Always,Never,No,No
44978,No,No,No,16 years old,Female,0 times,0 times,Rarely,2,0 days,Rarely,Most of the time,No,No
39890,No,No,Yes,16 years old,Female,0 times,0 times,Sometimes,1,0 days,Sometimes,Rarely,No,No
1610,No,No,No,14 years old,Male,0 times,0 times,Never,1,0 days,Most of the time,Always,No,No
42532,No,No,No,15 years old,Male,0 times,0 times,Rarely,0,0 days,Sometimes,Always,No,No
52955,No,No,No,14 years old,Male,0 times,0 times,Rarely,3 or more,1 or 2 days,Never,Sometimes,No,Yes
11292,No,No,No,17 years old,Female,12 or more times,12 or more times,Always,3 or more,0 days,Always,Never,Yes,No
21084,No,No,No,14 years old,Male,1 time,0 times,Rarely,2,0 days,Always,Always,No,No
43048,No,No,No,13 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Most of the time,No,No
41548,No,No,No,13 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Always,Sometimes,No,No
34003,No,No,No,13 years old,Female,0 times,0 times,Never,3 or more,0 days,Never,Never,No,No
6054,No,Yes,No,17 years old,Female,0 times,0 times,Never,3 or more,0 days,Most of the time,Never,No,No
26373,Yes,Yes,No,16 years old,Female,2 or 3 times,0 times,Most of the time,3 or more,1 or 2 days,Rarely,Never,Yes,Yes
13947,No,No,No,16 years old,Male,0 times,0 times,Never,3 or more,1 or 2 days,Always,Rarely,No,Yes
43021,No,No,No,16 years old,Female,0 times,0 times,Never,3 or more,0 days,Sometimes,Most of the time,No,No
2230,No,Yes,Yes,14 years old,Female,0 times,0 times,Never,3 or more,0 days,Sometimes,Never,No,No
47331,Yes,Yes,No,15 years old,Male,0 times,0 times,Never,3 or more,3 to 5 days,Most of the time,Always,No,Yes
7762,No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,0 days,Sometimes,Most of the time,No,No
1748,No,Yes,No,16 years old,Male,0 times,0 times,Never,3 or more,1 or 2 days,Sometimes,Never,No,Yes
55968,No,No,No,16 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Always,No,No
5826,No,Yes,No,15 years old,Male,0 times,0 times,Never,3 or more,3 to 5 days,Always,Always,No,Yes
37382,Yes,Yes,Yes,15 years old,Female,2 or 3 times,0 times,Rarely,3 or more,1 or 2 days,Always,Most of the time,No,Yes
16527,No,No,No,17 years old,Female,0 times,0 times,Never,1,0 days,Rarely,Never,No,No
7673,No,No,No,13 years old,Male,2 or 3 times,2 or 3 times,Never,3 or more,1 or 2 days,Never,Never,No,Yes
23396,Yes,No,Yes,15 years old,Male,10 or 11 times,2 or 3 times,Never,3 or more,0 days,Rarely,Always,No,No
31002,Yes,No,Yes,16 years old,Male,0 times,0 times,Sometimes,2,0 days,Never,Never,No,No
29933,No,No,Yes,14 years old,Male,0 times,2 or 3 times,Rarely,3 or more,0 days,Most of the time,Sometimes,No,No
35103,Yes,No,Yes,15 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Most of the time,No,No
26528,No,No,No,15 years old,Female,0 times,0 times,Always,2,0 days,Never,Always,Yes,No
26293,Yes,No,No,14 years old,Female,1 time,1 time,Most of the time,2,0 days,Rarely,Never,Yes,No
11112,No,No,No,15 years old,Female,1 time,0 times,Sometimes,2,0 days,Most of the time,Rarely,No,No
23520,No,No,No,13 years old,Male,0 times,2 or 3 times,Never,2,0 days,Rarely,Sometimes,No,No
17527,No,No,No,14 years old,Male,1 time,2 or 3 times,Sometimes,3 or more,1 or 2 days,Sometimes,Never,No,Yes
51174,No,No,No,17 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No
28643,No,No,No,14 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Never,No,No
24602,Yes,No,No,15 years old,Female,1 time,1 time,Never,3 or more,1 or 2 days,Always,Always,No,Yes
12481,No,No,No,13 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No
25515,No,No,No,13 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No
14986,No,No,No,17 years old,Male,0 times,0 times,Rarely,0,0 days,Never,Always,No,No
27349,No,No,No,13 years old,Female,0 times,0 times,Never,3 or more,0 days,Rarely,Rarely,No,No
3354,No,No,No,16 years old,Male,0 times,2 or 3 times,Never,2,3 to 5 days,Most of the time,Sometimes,No,Yes
13820,No,No,No,14 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Sometimes,No,No
52823,Yes,No,No,15 years old,Male,0 times,4 or 5 times,Sometimes,3 or more,10 or more days,Always,Sometimes,No,Yes
35675,No,No,No,17 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Always,No,No
46654,No,No,No,17 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Always,Always,No,No
14845,Yes,No,No,13 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Most of the time,No,No
13151,No,No,No,13 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Most of the time,No,No
47733,No,No,No,15 years old,Male,0 times,0 times,Never,0,0 days,Most of the time,Always,No,No
24368,No,Yes,No,16 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Rarely,No,No
46948,Yes,No,No,13 years old,Female,0 times,0 times,Sometimes,0,3 to 5 days,Never,Never,No,Yes
9734,No,No,No,14 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Always,Most of the time,No,No
43493,No,No,No,15 years old,Male,0 times,0 times,Most of the time,2,3 to 5 days,Sometimes,Sometimes,Yes,Yes
54405,Yes,No,No,14 years old,Male,0 times,1 time,Rarely,3 or more,0 days,Rarely,Never,No,No
44206,Yes,No,Yes,15 years old,Male,1 time,0 times,Most of the time,3 or more,1 or 2 days,Most of the time,Never,Yes,Yes
19042,No,No,No,14 years old,Female,0 times,0 times,Always,2,0 days,Rarely,Always,Yes,No
21735,No,No,No,16 years old,Male,0 times,0 times,Rarely,3 or more,1 or 2 days,Rarely,Sometimes,No,Yes
22876,Yes,No,Yes,14 years old,Male,0 times,2 or 3 times,Sometimes,3 or more,0 days,Sometimes,Most of the time,No,No
40563,No,No,No,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Sometimes,No,No
20702,No,No,No,13 years old,Male,0 times,0 times,Never,3 or more,1 or 2 days,Most of the time,Most of the time,No,Yes
45350,No,No,No,17 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Always,No,No
55934,No,No,No,15 years old,Male,0 times,2 or 3 times,Never,3 or more,0 days,Always,Never,No,No
11457,No,No,No,15 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Always,No,No
21476,No,No,No,13 years old,Male,0 times,1 time,Never,3 or more,0 days,Sometimes,Always,No,No
15135,No,Yes,No,16 years old,Female,1 time,0 times,Rarely,3 or more,0 days,Most of the time,Rarely,No,No
57019,No,No,No,14 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Never,No,No
1786,No,No,No,15 years old,Male,0 times,2 or 3 times,Most of the time,1,0 days,Rarely,Never,Yes,No
49573,No,No,No,13 years old,Female,0 times,1 time,Always,2,0 days,Always,Sometimes,Yes,No
34882,Yes,Yes,No,17 years old,Male,2 or 3 times,0 times,Always,3 or more,0 days,Sometimes,Sometimes,Yes,No
53052,Yes,Yes,No,17 years old,Female,1 time,2 or 3 times,Sometimes,3 or more,1 or 2 days,Always,Sometimes,No,Yes
22481,No,No,No,16 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Sometimes,No,No
28728,Yes,Yes,Yes,13 years old,Female,12 or more times,0 times,Always,3 or more,0 days,Never,Rarely,Yes,No
19683,Yes,Yes,Yes,16 years old,Female,0 times,0 times,Always,0,0 days,Rarely,Never,Yes,No
48482,No,No,No,14 years old,Female,0 times,0 times,Sometimes,0,1 or 2 days,Rarely,Rarely,No,Yes
12043,No,No,No,16 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Most of the time,Sometimes,Yes,No
35193,Yes,No,Yes,13 years old,Female,1 time,0 times,Rarely,3 or more,0 days,Most of the time,Always,No,No
9068,No,No,No,16 years old,Female,0 times,0 times,Rarely,2,0 days,Sometimes,Most of the time,No,No
20098,No,No,No,17 years old,Male,0 times,12 or more times,Sometimes,2,3 to 5 days,Sometimes,Most of the time,No,Yes
10331,Yes,No,No,15 years old,Male,0 times,1 time,Sometimes,2,6 to 9 days,Rarely,Never,No,Yes
22156,No,No,Yes,17 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Rarely,No,No
8363,No,No,Yes,16 years old,Female,0 times,0 times,Rarely,3 or more,1 or 2 days,Sometimes,Most of the time,No,Yes
6956,No,No,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Rarely,No,No
56963,No,No,No,16 years old,Male,0 times,2 or 3 times,Never,3 or more,0 days,Never,Always,No,No
43506,No,No,No,17 years old,Male,0 times,0 times,Never,3 or more,0 days,Rarely,Always,No,No
50901,No,No,No,14 years old,Female,0 times,0 times,Rarely,2,0 days,Most of the time,Never,No,No
1197,Yes,No,No,14 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Rarely,Most of the time,No,No
17332,No,No,No,16 years old,Female,0 times,0 times,Sometimes,3 or more,1 or 2 days,Sometimes,Never,No,Yes
4074,No,Yes,Yes,16 years old,Female,0 times,0 times,Never,1,0 days,Most of the time,Always,No,No
22304,No,No,No,14 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Most of the time,No,No
54702,Yes,Yes,Yes,13 years old,Female,0 times,0 times,Most of the time,2,0 days,Rarely,Always,Yes,No
1948,Yes,Yes,Yes,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Rarely,No,No
34925,No,No,No,16 years old,Male,0 times,0 times,Rarely,2,1 or 2 days,Most of the time,Always,No,Yes
53669,No,No,No,14 years old,Male,0 times,0 times,Rarely,3 or more,3 to 5 days,Most of the time,Rarely,No,Yes
